#name longitude/X latitude/Y height/Z yaw pitch roll
G0012142.JPG 41.5406383 -70.9393233 6.19 265.63 -8.68 -5.37
G0012143.JPG 41.5406383 -70.9393233 6.19 265.63 -8.68 -5.37
G0012144.JPG 41.5406357 -70.9393769 6.18 265.21 -6.39 -4.31
G0012145.JPG 41.5406357 -70.9393769 6.18 265.21 -6.39 -4.31
G0012146.JPG 41.5406339 -70.9394293 6.15 264.95 -11.87 -4.11
G0012147.JPG 41.5406339 -70.9394293 6.15 264.95 -11.87 -4.11
G0012148.JPG 41.5406329 -70.9394819 6.01 266.86 -8.65 -5.5
G0012149.JPG 41.5406329 -70.9394819 6.01 266.86 -8.65 -5.5
G0012150.JPG 41.5406321 -70.9395323 5.63 264.68 -8.42 -5.34
G0012151.JPG 41.5406321 -70.9395323 5.63 264.68 -8.42 -5.34
G0012152.JPG 41.5406301 -70.9395836 5.41 266 -11.39 -3.37
G0012153.JPG 41.5406301 -70.9395836 5.41 266 -11.39 -3.37
G0012154.JPG 41.5406276 -70.9396357 5.3 265.61 -10.13 -4.7
G0012155.JPG 41.5406276 -70.9396357 5.3 265.61 -10.13 -4.7
G0012156.JPG 41.5406238 -70.939688 5.31 264.61 -9.89 -3.82
G0012157.JPG 41.5406238 -70.939688 5.31 264.61 -9.89 -3.82
G0012158.JPG 41.5406201 -70.939742 5.27 265.37 -6.54 -3.67
G0012159.JPG 41.5406201 -70.939742 5.27 265.37 -6.54 -3.67
G0012160.JPG 41.5406166 -70.9397929 5.1 266.57 -11.77 -3.06
G0012161.JPG 41.5406166 -70.9397929 5.1 266.57 -11.77 -3.06
G0012162.JPG 41.5406123 -70.9398461 5.05 265.03 -10.7 -3.06
G0012163.JPG 41.5406123 -70.9398461 5.05 265.03 -10.7 -3.06
G0012164.JPG 41.5406078 -70.9399013 5.05 264.84 -10.7 -2.43
G0012165.JPG 41.5406078 -70.9399013 5.05 264.84 -10.7 -2.43
G0012166.JPG 41.5406029 -70.9399565 4.99 265.05 -10.96 -2.92
G0012167.JPG 41.5406029 -70.9399565 4.99 265.05 -10.96 -2.92
G0012168.JPG 41.5405985 -70.9400108 4.84 266.31 -10.6 -2.03
G0012169.JPG 41.5405985 -70.9400108 4.84 266.31 -10.6 -2.03
G0012170.JPG 41.5405942 -70.9400654 4.72 266.69 -11.61 -1.09
G0012171.JPG 41.5405942 -70.9400654 4.72 266.69 -11.61 -1.09
G0012172.JPG 41.5405904 -70.9401224 4.61 266.44 -9.56 -1.63
G0012173.JPG 41.5405904 -70.9401224 4.61 266.44 -9.56 -1.63
G0012174.JPG 41.5405872 -70.9401798 4.57 265.98 -10.47 -0.77
G0012175.JPG 41.5405872 -70.9401798 4.57 265.98 -10.47 -0.77
G0012176.JPG 41.5405855 -70.9402367 4.49 266.33 -10.29 -2.26
G0012177.JPG 41.5405855 -70.9402367 4.49 266.33 -10.29 -2.26
G0012178.JPG 41.5405828 -70.9402946 4.49 266.64 -9.66 -1.73
G0012179.JPG 41.5405828 -70.9402946 4.49 266.64 -9.66 -1.73
G0012180.JPG 41.54058 -70.9403504 4.58 266.47 -12.31 -0.73
G0012181.JPG 41.54058 -70.9403504 4.58 266.47 -12.31 -0.73
G0012182.JPG 41.5405771 -70.9404066 4.65 266.13 -12.95 -1.57
G0012183.JPG 41.5405771 -70.9404066 4.65 266.13 -12.95 -1.57
G0012184.JPG 41.5405726 -70.9404639 4.59 266.86 -10.03 -1.27
G0012185.JPG 41.5405726 -70.9404639 4.59 266.86 -10.03 -1.27
G0012186.JPG 41.5405666 -70.9405205 4.58 267.32 -9.73 1.42
G0012187.JPG 41.5405666 -70.9405205 4.58 267.32 -9.73 1.42
G0012188.JPG 41.5405621 -70.9405777 4.53 266.56 -10.42 0.9
G0012189.JPG 41.5405621 -70.9405777 4.53 266.56 -10.42 0.9
G0012190.JPG 41.5405593 -70.9406359 4.46 267.38 -8.38 -0.35
G0012191.JPG 41.5405593 -70.9406359 4.46 267.38 -8.38 -0.35
G0012192.JPG 41.5405582 -70.940692 4.24 261.79 -12.57 -2.27
G0012193.JPG 41.5405582 -70.940692 4.24 261.79 -12.57 -2.27
G0012194.JPG 41.5405562 -70.9407498 4.39 261.16 -13.32 -1.94
G0012195.JPG 41.5405562 -70.9407498 4.39 261.16 -13.32 -1.94
G0012196.JPG 41.5405489 -70.9408085 4.52 259.02 -11.09 2.34
G0012197.JPG 41.5405489 -70.9408085 4.52 259.02 -11.09 2.34
G0012198.JPG 41.5405419 -70.9408673 4.63 259.48 -10.38 0.84
G0012199.JPG 41.5405419 -70.9408673 4.63 259.48 -10.38 0.84
G0012200.JPG 41.540537 -70.9409259 4.52 260.26 -10.15 0.05
G0012201.JPG 41.540537 -70.9409259 4.52 260.26 -10.15 0.05
G0012202.JPG 41.5405314 -70.9409848 4.41 259.95 -11.24 0.1
G0012203.JPG 41.5405314 -70.9409848 4.41 259.95 -11.24 0.1
G0012204.JPG 41.5405248 -70.9410429 4.34 258.96 -10.11 0.86
G0012205.JPG 41.5405248 -70.9410429 4.34 258.96 -10.11 0.86
G0012206.JPG 41.5405182 -70.9411008 4.14 259.72 -11.52 -0.07
G0012207.JPG 41.5405182 -70.9411008 4.14 259.72 -11.52 -0.07
G0012208.JPG 41.5405098 -70.9411586 4.11 259.39 -11.37 0.87
G0012209.JPG 41.5405098 -70.9411586 4.11 259.39 -11.37 0.87
G0012210.JPG 41.5405011 -70.9412161 4.01 260 -12.14 0.52
G0012211.JPG 41.5405011 -70.9412161 4.01 260 -12.14 0.52
G0012212.JPG 41.5404918 -70.9412741 4.01 259.82 -11.06 1.52
G0012213.JPG 41.5404918 -70.9412741 4.01 259.82 -11.06 1.52
G0012214.JPG 41.5404834 -70.941333 3.99 259.46 -11.72 0.85
G0012215.JPG 41.5404834 -70.941333 3.99 259.46 -11.72 0.85
G0012216.JPG 41.5404748 -70.9413923 4.03 259.28 -11.26 0.53
G0012217.JPG 41.5404748 -70.9413923 4.03 259.28 -11.26 0.53
G0012218.JPG 41.5404664 -70.9414515 3.95 258.64 -11.5 0.14
G0012219.JPG 41.5404664 -70.9414515 3.95 258.64 -11.5 0.14
G0012220.JPG 41.5404575 -70.9415114 3.98 258.98 -11.82 0.2
G0012221.JPG 41.5404575 -70.9415114 3.98 258.98 -11.82 0.2
G0012222.JPG 41.5404483 -70.941571 3.92 258.95 -10.03 0.77
G0012223.JPG 41.5404483 -70.941571 3.92 258.95 -10.03 0.77
G0012224.JPG 41.5404396 -70.9416293 3.82 259.4 -10.55 -0.25
